sequence_id,candidate_score,reference_score,available_runs,mean_series_per_run,identity30,cluster
seq0001,0.16666666666666666,-0.4166666666666667,6,1.0,seq0001,seq0001
seq0005,-0.6250000000000001,-0.4940476190476191,6,1.0,seq0005,seq0005
seq0008,0.46666666666666673,0.8095238095238096,6,1.0,seq0008,seq0008
seq0009,0.04571428571428573,0.06285714285714286,5,2.0,seq0009,seq0005
seq0011,0.3579418821524431,-0.08260197280440995,6,1.0,seq0009,seq0005
seq0012,0.8198328365254217,0.2407442118061879,6,2.0,seq0009,seq0005
seq0015,0.3878787878787879,0.61010101010101,6,1.0,seq0001,seq0001
seq0017,-0.14285714285714285,-0.21746031746031746,6,9.0,seq0001,seq0001
seq0020,0.49142857142857144,0.48571428571428577,5,2.0,seq0009,seq0005
seq0021,-0.7738095238095238,-0.7857142857142859,6,1.0,seq0001,seq0001
seq0022,-0.4684874806016907,-0.5435656024929872,6,1.0,seq0001,seq0001
seq0024,-0.3333333333333333,0.09999999999999998,6,1.0,seq0024,seq0024
seq0030,0.6666666666666666,0.4166666666666667,6,1.0,seq0005,seq0005
seq0031,-0.4525916690119966,-0.37204330725877255,6,1.0,seq0001,seq0001
seq0034,-0.16666666666666666,-0.13888888888888892,6,6.0,seq0005,seq0005
seq0036,0.7817460317460317,0.8134920634920636,6,1.0,seq0036,seq0001
seq0040,0.4777777777777777,0.09999999999999999,6,3.0,seq0008,seq0008
seq0043,0.375,0.125,6,1.0,seq0024,seq0024
seq0045,0.3761920624312232,0.5557382740461251,6,1.0,seq0008,seq0008
seq0048,0.15757575757575756,0.15538182470857406,6,6.0,seq0008,seq0008
seq0051,0.9037736014561809,0.891221190324845,6,1.0,seq0005,seq0005
seq0052,0.6269841269841271,0.13095238095238096,6,1.0,seq0005,seq0005
seq0053,0.9166412999426753,0.6909090909090908,6,1.0,seq0005,seq0005
seq0060,0.09523809523809527,-0.31428571428571433,6,2.0,seq0036,seq0001
seq0074,0.12912867898595567,0.1434343434343434,6,6.0,seq0008,seq0008
seq0075,0.10235690235690235,-0.05654464555495247,6,6.0,seq0008,seq0008
seq0081,-0.2111111111111111,-0.21666666666666665,6,3.0,seq0081,seq0024
seq0082,0.2893939393939394,0.1734848484848485,6,2.0,seq0081,seq0024
seq0083,0.4444444444444445,0.4722222222222223,6,3.0,seq0081,seq0024
seq0084,0.5047619047619049,0.6,6,3.0,seq0081,seq0024
seq0088,-0.3100318272768329,-0.2948341886848313,6,2.0,seq0081,seq0024
seq0089,0.8666666666666666,0.6666666666666666,6,1.0,seq0001,seq0001
seq0092,-0.09999999999999999,0.5,6,1.0,seq0081,seq0024
seq0093,0.7245128804305274,0.5593665620970983,6,1.0,seq0081,seq0024
seq0094,0.6917919342230922,0.7500199888612804,6,1.0,seq0081,seq0024
seq0095,0.29652337013875335,0.2041830097987696,6,1.0,seq0081,seq0024
seq0098,0.6428571428571429,0.3357142857142857,6,4.0,seq0008,seq0008
seq0110,-0.14285714285714288,-0.053571428571428575,6,1.0,seq0001,seq0001
seq0111,-0.7500000000000001,-0.8511904761904764,6,1.0,seq0001,seq0001
seq0114,-0.12103174603174606,0.26785714285714296,6,3.0,seq0005,seq0005
seq0116,0.07542987976536031,-0.16816613629590468,5,2.0,seq0006,seq0001
seq0117,0.15238095238095242,0.12857142857142861,5,1.0,seq0009,seq0005
seq0123,0.22626262626262625,0.2080808080808081,6,2.0,seq0024,seq0024
seq0124,0.7367510732637226,0.6202020202020201,6,1.0,seq0005,seq0005
seq0126,0.7166666666666667,0.5416666666666666,6,2.0,seq0005,seq0005
seq0129,0.2196372156919094,0.20068303969655304,5,4.0,seq0006,seq0001
seq0136,0.23412698412698416,0.5,6,1.0,seq0036,seq0001
seq0148,0.6342857142857143,0.3942857142857143,5,1.0,seq0006,seq0001
seq0149,0.2422183988589465,0.23969396418319208,6,7.0,seq0024,seq0024
seq0150,0.4761904761904763,0.21031746031746035,6,1.0,seq0005,seq0005
seq0155,0.4070707070707071,0.12828282828282828,6,2.0,seq0036,seq0001
seq0178,-0.5772948935311631,-0.5885780885780886,6,1.0,seq0036,seq0001
seq0181,0.9249999999999998,0.8249999999999998,6,2.0,seq0036,seq0001
seq0182,0.2125,0.15,6,4.0,seq0036,seq0001
seq0183,-0.31292749136072195,-0.21817744558513086,6,4.0,seq0036,seq0001
seq0184,-0.03888888888888888,0.027777777777777762,6,6.0,seq0036,seq0001
seq0185,-0.09523809523809525,0.1904761904761905,6,2.0,seq0036,seq0001
seq0188,0.6833333333333332,0.6,6,1.0,seq0008,seq0008
seq0189,-0.047588091258954905,-0.03713102299309617,6,4.0,seq0024,seq0024
seq0193,0.2057072900501409,0.2321428571428572,6,1.0,seq0001,seq0001
seq0202,-0.011111111111111108,0.22777777777777777,6,3.0,seq0005,seq0005
seq0207,0.5437483058576267,0.512188078516449,6,2.0,seq0005,seq0005
seq0212,-0.01153846153846155,-0.14475524475524476,5,4.0,seq0006,seq0001
seq0216,-0.0825757575757576,-0.03787878787878788,6,2.0,seq0024,seq0024
seq0224,-0.48065476190476203,-0.41666666666666674,6,4.0,seq0036,seq0001
seq0226,0.44304602843342616,0.2762760009813016,6,2.0,seq0024,seq0024
seq0232,0.25858585858585853,0.6040404040404039,6,1.0,seq0036,seq0001
seq0233,0.8166666666666665,0.7583333333333332,6,2.0,seq0005,seq0005
seq0234,0.505952380952381,0.4583333333333334,6,1.0,seq0024,seq0024
seq0235,0.4895019113894236,0.7574426793323336,6,6.0,seq0036,seq0001
seq0236,0.7902008781161438,0.5756082267993942,6,2.0,seq0036,seq0001
seq0237,-0.5714285714285715,-0.5561904761904762,6,5.0,seq0008,seq0008
seq0244,0.511904761904762,0.18392857142857144,6,2.0,seq0024,seq0024
seq0245,0.4666666666666666,0.425,6,2.0,seq0024,seq0024
seq0259,0.8770580075007283,0.8943741329695237,6,2.0,seq0024,seq0024
seq0266,0.7000000000000001,0.8666666666666667,6,1.0,seq0006,seq0001
seq0269,-0.3811294352041254,0.12424526111796763,6,2.0,seq0005,seq0005
seq0273,-0.06666666666666664,0.6666666666666666,6,1.0,seq0036,seq0001
seq0287,-0.4611111111111111,-0.05833333333333333,6,1.0,seq0001,seq0001
seq0290,0.48,-0.15999999999999998,5,1.0,seq0009,seq0005
