sequence_id,candidate_pairwise,candidate_top_rank,candidate_best_hit,reference_pairwise,reference_top_rank,reference_best_hit,identity30,cluster
seq0001,0.6,0.6666666666666666,0.0,0.3166666666666667,0.4166666666666667,0.0,seq0001,seq0001
seq0005,0.27777777777777773,0.3333333333333333,0.0,0.34920634920634913,0.3333333333333333,0.0,seq0005,seq0005
seq0008,0.6777777777777777,0.8000000000000002,0.0,0.8555555555555556,1.0,1.0,seq0008,seq0008
seq0009,0.5133333333333334,0.42000000000000004,0.1,0.5266666666666666,0.36,0.0,seq0009,seq0005
seq0011,0.6480263157894737,0.6274509803921569,0.0,0.4802631578947369,0.823529411764706,0.6666666666666666,seq0009,seq0005
seq0012,0.8470288970288969,0.9615384615384616,0.6666666666666666,0.5919668294668295,0.7628205128205128,0.3333333333333333,seq0009,seq0005
seq0015,0.6296296296296297,0.6296296296296297,0.0,0.7296296296296295,0.6666666666666666,0.16666666666666666,seq0001,seq0001
seq0017,0.45555555555555555,0.4037037037037037,0.1111111111111111,0.42160493827160495,0.3148148148148148,0.018518518518518517,seq0001,seq0001
seq0020,0.7,0.82,0.5,0.6799999999999999,0.8200000000000001,0.1,seq0009,seq0005
seq0021,0.17460317460317457,0.05555555555555555,0.0,0.19047619047619047,0.05555555555555555,0.0,seq0001,seq0001
seq0022,0.30833333333333335,0.05555555555555555,0.0,0.25,0.1388888888888889,0.0,seq0001,seq0001
seq0024,0.3333333333333333,0.3888888888888889,0.3333333333333333,0.5277777777777778,0.7777777777777777,0.6666666666666666,seq0024,seq0024
seq0030,0.7777777777777777,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.75,0.5,seq0005,seq0005
seq0031,0.3088888888888889,0.3,0.0,0.35333333333333333,0.3,0.0,seq0001,seq0001
seq0034,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.5277777777777778,0.27777777777777773,seq0005,seq0005
seq0036,0.8154761904761904,0.6904761904761906,0.16666666666666666,0.8273809523809524,0.8095238095238094,0.0,seq0036,seq0001
seq0040,0.7222222222222223,0.8472222222222222,0.5555555555555555,0.5333333333333333,0.4583333333333333,0.0,seq0008,seq0008
seq0043,0.6759259259259259,0.875,0.5,0.5462962962962963,0.7291666666666666,0.5,seq0024,seq0024
seq0045,0.6481481481481481,0.4583333333333333,0.3333333333333333,0.7407407407407408,0.7083333333333334,0.6666666666666666,seq0008,seq0008
seq0048,0.5512345679012346,0.5864197530864197,0.16666666666666666,0.5419753086419753,0.5478395061728395,0.09722222222222221,seq0008,seq0008
seq0051,0.9,0.9375,1.0,0.8904761904761904,0.9375,1.0,seq0005,seq0005
seq0052,0.75,0.8571428571428571,0.5,0.5833333333333334,0.7619047619047619,0.0,seq0005,seq0005
seq0053,0.8907407407407407,0.8796296296296297,0.25,0.7962962962962963,0.7407407407407408,0.6666666666666666,seq0005,seq0005
seq0060,0.5277777777777778,0.45,0.08333333333333333,0.3666666666666667,0.21666666666666667,0.0,seq0036,seq0001
seq0074,0.5503086419753086,0.5370370370370371,0.0,0.5499999999999999,0.5092592592592592,0.09722222222222222,seq0008,seq0008
seq0075,0.5339506172839507,0.6851851851851851,0.0,0.47345679012345676,0.5154320987654321,0.027777777777777776,seq0008,seq0008
seq0081,0.44999999999999996,0.5416666666666666,0.0,0.42777777777777776,0.5694444444444445,0.0,seq0081,seq0024
seq0082,0.6045454545454545,0.8250000000000001,0.0,0.5636363636363636,0.7000000000000001,0.0,seq0081,seq0024
seq0083,0.6878306878306878,0.8703703703703703,0.611111111111111,0.7037037037037036,0.6574074074074073,0.27777777777777773,seq0081,seq0024
seq0084,0.7111111111111111,0.8444444444444444,0.611111111111111,0.7555555555555555,0.9,0.611111111111111,seq0081,seq0024
seq0088,0.38518518518518524,0.2546296296296296,0.0,0.4000000000000001,0.3055555555555555,0.0,seq0081,seq0024
seq0089,0.888888888888889,0.9444444444444443,0.8333333333333334,0.7777777777777778,0.9444444444444445,0.8333333333333334,seq0001,seq0001
seq0092,0.5,0.16666666666666666,0.16666666666666666,0.6944444444444445,0.8888888888888888,0.6666666666666666,seq0081,seq0024
seq0093,0.7798742138364779,0.9,0.0,0.7138364779874213,0.4916666666666667,0.0,seq0081,seq0024
seq0094,0.7592592592592592,0.8441358024691358,0.38888888888888884,0.7880116959064328,0.8888888888888888,0.5277777777777778,seq0081,seq0024
seq0095,0.6204710144927535,0.7412280701754387,0.0,0.5797101449275363,0.6228070175438596,0.0,seq0081,seq0024
seq0098,0.7583333333333333,0.8333333333333334,0.5833333333333334,0.6277777777777778,0.7250000000000001,0.375,seq0008,seq0008
